program,requirement_type,concentration_or_minor_name,semester_suggested,course_id,course_title,credit_hours,gen_ed_area,is_elective_slot,eligible_courses,min_grade,footnotes
Business Administration,baseline,,freshman_fall,ORI 101,First Year Experience,1,V,False,,,
Business Administration,baseline,,freshman_fall,ENG 101,Composition I,3,I,False,,C,MinGrade of C required.
Business Administration,baseline,,freshman_fall,MTH 112,Pre-Calculus Algebra,3,III,False,,C,MinGrade of C required.
Business Administration,baseline,,freshman_fall,,Science Lecture,3,III,True,See General Education Requirements Area III,,See General Education Requirements section for eligible courses.
Business Administration,baseline,,freshman_fall,,Science Lab,1,III,True,Matching lab,,
Business Administration,baseline,,freshman_fall,,HIS Elective,3,IV,True,HIS 101-202 series,,See General Education Requirements section for eligible courses.
Business Administration,baseline,,freshman_fall,,PED/MSC/HED Elective,2,V,True,See General Education Requirements Area V,,See General Education Requirements section for eligible courses.
Business Administration,baseline,,freshman_spring,ORI 102,First Year Experience,1,V,False,,,
Business Administration,baseline,,freshman_spring,ENG 102,Composition II,3,I,False,,C,MinGrade of C required.
Business Administration,baseline,,freshman_spring,,Fine Arts Elective,3,II,True,"ART 101, MUS 101, etc.",,
Business Administration,baseline,,freshman_spring,,Science Lecture,3,III,True,See General Education Requirements Area III,,
Business Administration,baseline,,freshman_spring,,Science Lab,1,III,True,Matching lab,,
Business Administration,baseline,,freshman_spring,,Social/Behavioral Science Elective,3,IV,True,"PSY 201, SOC 201, etc.",,See General Education Requirements section for eligible courses.
Business Administration,baseline,,freshman_spring,MTH 120,Calculus and its Applications,3,III,False,,C,MinGrade of C required.
Business Administration,baseline,,sophomore_fall,,Literature Sequence I,3,II,True,ENG 201-208 series,,
Business Administration,baseline,,sophomore_fall,ECO 230,Principles of Microeconomics,3,IV,False,,,
Business Administration,baseline,,sophomore_fall,MIS 213,Comp Applications in Business,3,V,False,,,
Business Administration,baseline,,sophomore_fall,ENG 205,General Speech,3,II,False,,,
Business Administration,baseline,,sophomore_fall,ACC 203,Financial Accounting Principles,3,,False,,C,MinGrade of C required.
Business Administration,baseline,,sophomore_spring,,Literature Sequence II,3,II,True,ENG 201-208 series,,
Business Administration,baseline,,sophomore_spring,ECO 231,Principles of Macroeconomics,3,IV,False,,,
Business Administration,baseline,,sophomore_spring,ECO 271,Business Statistics I,3,,False,,C,MinGrade of C required.
Business Administration,baseline,,sophomore_spring,MGT 207,Legal Env and Ethics,3,,False,,C,MinGrade of C required.
Business Administration,baseline,,sophomore_spring,ACC 204,Managerial Accounting Principles,3,,False,,C,MinGrade of C required.
Business Administration,baseline,,sophomore_spring,ELO 250,Prof Dev & Workforce Readiness,3,,False,,C,MinGrade of C required.
Business Administration,baseline,,junior_fall,FIN 315,Principles of Finance,3,,False,,C,MinGrade of C required.
Business Administration,baseline,,junior_fall,MIS 315,Principles of Mgt Info Systems,3,,False,,C,MinGrade of C required.
Business Administration,baseline,,junior_fall,MGT 315,Principles of Management,3,,False,,C,MinGrade of C required.
Business Administration,baseline,,junior_fall,,Concentration Course,3,,True,"From selected concentration (INB, MIS, or BAN)",,Concentration must be from those listed for this department.
Business Administration,baseline,,junior_fall,,Concentration Course,3,,True,From selected concentration,,
Business Administration,baseline,,junior_spring,BUS 390,ELO in Business Admin,3,,False,,C,"MinGrade of C required. [CS] capstone course. To register: sophomore standing, Career Dev Svcs registration, 2.0 MinGPA, prereq ELO 250, advisor/chair/dean signatures."
Business Administration,baseline,,junior_spring,MKT 315,Principles of Marketing,3,,False,,C,MinGrade of C required.
Business Administration,baseline,,junior_spring,,"HIS 207, PSC 206, or SOC 210",3,IV,True,HIS 207; PSC 206; SOC 210,,
Business Administration,baseline,,junior_spring,,Concentration Course,3,,True,From selected concentration,,
Business Administration,baseline,,junior_spring,,Concentration Course,3,,True,From selected concentration,,
Business Administration,baseline,,senior_fall,,Free Elective,3,,True,Any course except transitional courses,,
Business Administration,baseline,,senior_fall,,Concentration Course,3,,True,From selected concentration,,
Business Administration,baseline,,senior_fall,,Concentration Course,3,,True,From selected concentration,,
Business Administration,baseline,,senior_fall,MGT 413,Production Operations Mgt,3,,False,,C,MinGrade of C required.
Business Administration,baseline,,senior_spring,MGT 442,Strategic Mgt and Policy,3,,False,,C,"MinGrade of C required. [CS] capstone course, cannot be substituted."
Business Administration,baseline,,senior_spring,,Concentration Course,3,,True,From selected concentration,,
Business Administration,baseline,,senior_spring,,Concentration Course,3,,True,From selected concentration,,
Business Administration,baseline,,senior_spring,,Concentration Course,3-6,,True,From selected concentration (some concentrations require additional hours),,Some concentrations may require additional hours.
Business Administration,concentration,International Business,,ACC 461,Seminar in Int'l Accounting,3,,False,,D,
Business Administration,concentration,International Business,,ECO 446,Int'l Trade and Policy,3,,False,,D,
Business Administration,concentration,International Business,,FIN 487,Int'l Financial Management,3,,False,,D,
Business Administration,concentration,International Business,,MGT 332,Org Behavior and Theory,3,,False,,D,
Business Administration,concentration,International Business,,MGT 458,International Business,3,,False,,D,
Business Administration,concentration,International Business,,MGT 465,International Management,3,,False,,D,
Business Administration,concentration,International Business,,MKT 464,Global Marketing,3,,False,,D,
Business Administration,concentration,International Business,,,Foreign Language Sequence + additional Foreign Language,9,,True,Any foreign language sequence (6 hrs) plus additional foreign language course (3 hrs),D,
Business Administration,concentration,Management Information Systems,,MGT 458,International Business,3,,False,,D,
