program,requirement_type,concentration_or_minor_name,semester_suggested,course_id,course_title,credit_hours,gen_ed_area,is_elective_slot,eligible_courses,min_grade,footnotes
Animal Bio-Health Sciences,baseline,,freshman_fall,ORI 101,First Year Experience,1,V,False,,,
Animal Bio-Health Sciences,baseline,,freshman_fall,ENG 101,Composition I,3,I,False,,C,MinGrade of C required.
Animal Bio-Health Sciences,baseline,,freshman_fall,,Math – See GenEd Listing,3,III,True,"MTH 108, MTH 108E, MTH 110, MTH 111, MTH 112, MTH 112E, MTH 113, MTH 115, MTH 120, MTH 125, MTH 126, MTH 227, MTH 237, MTH 238",,
Animal Bio-Health Sciences,baseline,,freshman_fall,,Sci lecture – See GenEd Listing,3,III,True,See General Education Requirements Area III,,
Animal Bio-Health Sciences,baseline,,freshman_fall,,Sci lab – See GenEd Listing,1,III,True,Matching lab for science lecture,,
Animal Bio-Health Sciences,baseline,,freshman_fall,FAS 112,Intro to Animal Bio-Health Sciences,3,V,False,,C,MinGrade of C required.
Animal Bio-Health Sciences,baseline,,freshman_spring,ORI 102,First Year Experience,1,V,False,,,
Animal Bio-Health Sciences,baseline,,freshman_spring,ENG 102,Composition II,3,I,False,,C,MinGrade of C required.
Animal Bio-Health Sciences,baseline,,freshman_spring,MTH 113,Pre-Calculus Trigonometry,3,III,False,,,
Animal Bio-Health Sciences,baseline,,freshman_spring,,Fine Arts – See GenEd Listing,3,II,True,"ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,
Animal Bio-Health Sciences,baseline,,freshman_spring,CHE 102,General Chemistry II,3,III,False,,,
Animal Bio-Health Sciences,baseline,,freshman_spring,CHE 102L,General Chemistry II Lab,1,III,False,,,
Animal Bio-Health Sciences,baseline,,freshman_spring,FAS 101,Foods For Life,2,V,False,,,
Animal Bio-Health Sciences,baseline,,sophomore_fall,,Lit Sequence – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
Animal Bio-Health Sciences,baseline,,sophomore_fall,,History – See GenEd Listing,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",,
Animal Bio-Health Sciences,baseline,,sophomore_fall,,Sci lecture – See GenEd Listing,3,III,True,See General Education Requirements Area III,,
Animal Bio-Health Sciences,baseline,,sophomore_fall,,Sci lab – See GenEd Listing,1,III,True,Matching lab for science lecture,,
Animal Bio-Health Sciences,baseline,,sophomore_fall,,Soc/Beh Sci – See GenEd Listing,3,IV,True,See General Education Requirements Area IV,,
Animal Bio-Health Sciences,baseline,,sophomore_fall,FAS 245,Practicum I,2,,False,,C,MinGrade of C required.
Animal Bio-Health Sciences,baseline,,sophomore_fall,FAS 352,Feeds & Feeding,3,,False,,C,MinGrade of C required.
Animal Bio-Health Sciences,baseline,,sophomore_spring,,Lit Sequence – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
Animal Bio-Health Sciences,baseline,,sophomore_spring,,Economics – See GenEd Listing,3,IV,True,"ECO 200, ECO 230, ECO 231",,
Animal Bio-Health Sciences,baseline,,sophomore_spring,NRE 199,Technology in Ag & Bio Sciences,3,V,False,,,
Animal Bio-Health Sciences,baseline,,sophomore_spring,FAS 351,Nutrition & Metabolism,3,,False,,C,MinGrade of C required.
Animal Bio-Health Sciences,baseline,,sophomore_spring,FAS 259,Companion Animal Mgt,3,,False,,C,MinGrade of C required.
Animal Bio-Health Sciences,baseline,,sophomore_spring,,Soc/Beh Sci – See GenEd Listing,3,IV,True,See General Education Requirements Area IV,,
Animal Bio-Health Sciences,baseline,,junior_fall,,Hum/Fine Art – See GenEd Listing,3,II,True,"CHN 101, CHN 102, CHN 201, CHN 202, ENG 205, ENG 205H, FRE 101, FRE 102, FRE 201, FRE 202, PHL 201, PHL 203, PHL 206, SPA 101, SPA 102, SPA 201, SPA 202, ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,
Animal Bio-Health Sciences,baseline,,junior_fall,CHE 251,Organic Chemistry,3,,False,,,
Animal Bio-Health Sciences,baseline,,junior_fall,CHE 251L,Organic Chemistry Lab I,1,,False,,,
Animal Bio-Health Sciences,baseline,,junior_fall,PHY 201,General Physics with Trig I,4,III,False,,,
Animal Bio-Health Sciences,baseline,,junior_fall,FAS 357,Monogastric Animal Mgt,3,,False,,C,MinGrade of C required.
Animal Bio-Health Sciences,baseline,,junior_spring,BIO 330,Microbiology,3,,False,,,
Animal Bio-Health Sciences,baseline,,junior_spring,BIO 330L,Microbiology Lab,1,,False,,,
Animal Bio-Health Sciences,baseline,,junior_spring,FAS 320,Animal Biosecurity & Diseases,3,,False,,C,MinGrade of C required.
Animal Bio-Health Sciences,baseline,,junior_spring,FAS 345,Practicum II,2,,False,,C,MinGrade of C required.
Animal Bio-Health Sciences,baseline,,junior_spring,FAS 353,Animal Breeding & Genetics,3,,False,,C,MinGrade of C required.
Animal Bio-Health Sciences,baseline,,junior_spring,FAS 358,Ruminant Animal Mgt,3,,False,,C,MinGrade of C required.
Animal Bio-Health Sciences,baseline,,senior_fall,FAS 403,Seminar,1,,False,,C,MinGrade of C required.
Animal Bio-Health Sciences,baseline,,senior_fall,FAS 424,Animal Models in Biomedical Res,3,,False,,C,MinGrade of C required.
Animal Bio-Health Sciences,baseline,,senior_fall,FAS 440,Research Methods in Bioscience,3,,False,,C,MinGrade of C required.
Animal Bio-Health Sciences,baseline,,senior_fall,FAS 460,Animal Anatomy & Physiology,3,,False,,C,MinGrade of C required.
Animal Bio-Health Sciences,baseline,,senior_fall,FAS 462,Animal Parasitology,3,,False,,C,MinGrade of C required.
Animal Bio-Health Sciences,baseline,,senior_fall,FAS 491,Animal Health Internship,1,,False,,C,MinGrade of C required.
Animal Bio-Health Sciences,baseline,,senior_spring,FAS 408L,Food/Feed Analysis,4,,False,,C,MinGrade of C required.
Animal Bio-Health Sciences,baseline,,senior_spring,FAS 430L,Physiology of Reproduction,4,,False,,C,MinGrade of C required.
Animal Bio-Health Sciences,baseline,,senior_spring,FAS 453L,Agricultural Biochemistry,4,,False,,C,MinGrade of C required.
Animal Bio-Health Sciences,baseline,,senior_spring,FAS 492,Animal Bio-Hlth Sci Capstone,3,,False,,C,"[CS] capstone course, cannot be substituted. MinGrade of C required."
