program,requirement_type,concentration_or_minor_name,semester_suggested,course_id,course_title,credit_hours,gen_ed_area,is_elective_slot,eligible_courses,min_grade,footnotes
Computer Science,baseline,,freshman_fall,ORI 101,First Year Experience,1,V,False,,,
Computer Science,baseline,,freshman_fall,ENG 101,Composition I,3,I,False,,C,MinGrade of C required.
Computer Science,baseline,,freshman_fall,MTH 125,Calculus I,4,III,False,,,
Computer Science,baseline,,freshman_fall,,PED/MSC/HED Elective,2,V,True,"See General Education Requirements Area V: PED 102, PED 107, PED 111, PED 114, PED 132, PED 133, PED 137, HED 101, MSC 101, FAS 101, NHM 104",,See General Education Requirements section for eligible courses.
Computer Science,baseline,,freshman_fall,CS 104,Intro to Computers & Ethics,3,V,False,,,
Computer Science,baseline,,freshman_spring,ORI 102,First Year Experience,1,V,False,,,
Computer Science,baseline,,freshman_spring,ENG 102,Composition II,3,I,False,,C,MinGrade of C required.
Computer Science,baseline,,freshman_spring,,Fine Arts Elective,3,II,True,"ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,See General Education Requirements section for eligible courses.
Computer Science,baseline,,freshman_spring,,History Elective,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",,See General Education Requirements section for eligible courses.
Computer Science,baseline,,freshman_spring,MTH 126,Calculus II,4,III,False,,,
Computer Science,baseline,,freshman_spring,CS 102,Intro to Programming I,3,V,False,,C,MinGrade of C required.
Computer Science,baseline,,sophomore_fall,,Literature Sequence I,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,See General Education Requirements section for eligible courses.
Computer Science,baseline,,sophomore_fall,PHY 213,General Physics with Calculus I,4,III,False,,,
Computer Science,baseline,,sophomore_fall,,History Elective,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",,See General Education Requirements section for eligible courses.
Computer Science,baseline,,sophomore_fall,CS 109,Intro to Programming II,3,,False,,C,MinGrade of C required.
Computer Science,baseline,,sophomore_fall,CS 203,Discrete Structures,3,,False,,C,MinGrade of C required.
Computer Science,baseline,,sophomore_spring,,Literature Sequence II,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,See General Education Requirements section for eligible courses.
Computer Science,baseline,,sophomore_spring,PHY 214,General Physics with Calculus II,4,III,False,,,
Computer Science,baseline,,sophomore_spring,,Economics Elective,3,IV,True,"ECO 200, ECO 230, ECO 231",,See General Education Requirements section for eligible courses.
Computer Science,baseline,,sophomore_spring,CS 206,Intro Java Programming I,3,,False,,C,MinGrade of C required.
Computer Science,baseline,,sophomore_spring,CS 209,Intro to Digital Logic Design,3,,False,,C,MinGrade of C required.
Computer Science,baseline,,sophomore_spring,CS 215,Data Structures,3,,False,,C,MinGrade of C required.
Computer Science,baseline,,junior_fall,MTH 237,Linear Algebra,3,,False,,C,MinGrade of C required.
Computer Science,baseline,,junior_fall,CS 314,Advanced Programming,3,,False,,C,MinGrade of C required.
Computer Science,baseline,,junior_fall,,CS 3xx-4xx Elective,3,,True,See General Computer Science Electives list,C,MinGrade of C required.
Computer Science,baseline,,junior_fall,,Concentration Course,3,,True,"From selected concentration (AI, Cyber Security, or General CS)",,"Although concentrations are a minimum 21 hours, some may require additional hours. Concentration must be from those listed for this department."
Computer Science,baseline,,junior_fall,,Concentration Course,3,,True,From selected concentration,,See concentration requirements.
Computer Science,baseline,,junior_spring,,Humanities/Fine Arts Elective,3,II,True,See General Education Requirements Area II Humanities list,,See General Education Requirements section for eligible courses.
Computer Science,baseline,,junior_spring,,Concentration Course,3,,True,From selected concentration,,
Computer Science,baseline,,junior_spring,,Concentration Course,3,,True,From selected concentration,,
Computer Science,baseline,,junior_spring,,Social/Behavioral Science Elective,3,IV,True,"PSY 201, PSY 211, SOC 201, SOC 210, SOC 212, GEO 213, GEO 214, PSC 201, UPL 103",,See General Education Requirements section for eligible courses.
Computer Science,baseline,,junior_spring,,Free Elective,3,,True,Any course except transitional courses,,
Computer Science,baseline,,senior_fall,,MTH 453 or ST 453 Probability & Statistics,3,,True,MTH 453; ST 453,C,MinGrade of C required.
Computer Science,baseline,,senior_fall,CS 401,Software Engineering,3,,False,,C,MinGrade of C required.
Computer Science,baseline,,senior_fall,CS 425,Theory of Algorithms,3,,False,,C,MinGrade of C required.
Computer Science,baseline,,senior_fall,,Concentration Course,3,,True,From selected concentration,,
Computer Science,baseline,,senior_fall,,Concentration Course,3,,True,From selected concentration,,
Computer Science,baseline,,senior_spring,CS 403,Senior Problems,3,,False,,C,"MinGrade of C required. [CS] capstone course, cannot be substituted."
Computer Science,baseline,,senior_spring,CS 405,Linux w/ Appl Programming,3,,False,,C,MinGrade of C required.
Computer Science,baseline,,senior_spring,,Concentration Course,3,,True,From selected concentration,,
Computer Science,baseline,,senior_spring,,Free Elective,3,,True,Any course except transitional courses,,
Computer Science,baseline,,senior_spring,,CS 410 Seminar OR 5xx CMP Core course (if in 5-yr prgm),3,,True,"CS 410; 5xx CMP Core (5-yr program only, MinGrade B)",C,MinGrade of C required for CS 410. MinGrade of B required for 5xx courses in 5-yr program.
Computer Science,concentration,Artificial Intelligence,,CS 381,Computer Organization,3,,False,,C,
Computer Science,concentration,Artificial Intelligence,,CS 384,Operating Systems,3,,False,,C,
Computer Science,concentration,Artificial Intelligence,,CS 389,Programming in Robotics System,3,,False,,C,
Computer Science,concentration,Artificial Intelligence,,CS 409,Introduction to Digital Image Processing,3,,False,,C,
Computer Science,concentration,Artificial Intelligence,,CS 430,Machine Learning,3,,False,,C,
Computer Science,concentration,Artificial Intelligence,,CS 450,Artificial Intelligence,3,,False,,C,
Computer Science,concentration,Artificial Intelligence,,CS 488,Database Systems,3,,False,,C,
Computer Science,concentration,Cyber Security,,CS 381,Computer Organization,3,,False,,C,
Computer Science,concentration,Cyber Security,,CS 384,Operating Systems,3,,False,,C,
Computer Science,concentration,Cyber Security,,CS 488,Database Systems,3,,False,,C,
Computer Science,concentration,Cyber Security,,CS 321,Principles of Information Security,3,,False,,C,
Computer Science,concentration,Cyber Security,,CS 386,Cryptography,3,,False,,C,
Computer Science,concentration,Cyber Security,,CS 414,Forensic Computing,3,,False,,C,
Computer Science,concentration,Cyber Security,,CS 421,Computer Security,3,,False,,C,
Computer Science,concentration,General Computer Science,,CS 381,Computer Organization,3,,False,,C,
Computer Science,concentration,General Computer Science,,CS 384,Operating Systems,3,,False,,C,
Computer Science,concentration,General Computer Science,,CS 488,Database Systems,3,,False,,C,
Computer Science,concentration,General Computer Science,,,CS 3xx General Computer Science Elective,3,,True,See General Computer Science Electives list,C,
Computer Science,concentration,General Computer Science,,,CS 3xx General Computer Science Elective,3,,True,See General Computer Science Electives list,C,
Computer Science,concentration,General Computer Science,,,CS 4xx General Computer Science Elective,3,,True,See General Computer Science Electives list,C,
Computer Science,concentration,General Computer Science,,,CS 4xx General Computer Science Elective (overlap),3,,True,One of the 3xx or 4xx GCS Electives is an overlap with baseline CS 3xx-4xx Elective slot,C,
Computer Science,minor,Computer Science Minor,,CS 102,Intro to Programming I,3,,False,,C,
Computer Science,minor,Computer Science Minor,,CS 104,Intro to Computers & Ethics,3,,False,,C,
Computer Science,minor,Computer Science Minor,,CS 109,Intro to Programming II,3,,False,,C,
Computer Science,minor,Computer Science Minor,,CS 203,Discrete Structures,3,,False,,C,
Computer Science,minor,Computer Science Minor,,CS 206,Intro Java Programming I,3,,False,,C,
Computer Science,minor,Computer Science Minor,,,CS 3xx-4xx Elective,3,,True,Includes Cyber Security and General Computer Science Electives,C,
Computer Science,minor,Data Science Minor,,CS 104,Intro to Computers & Ethics,3,,False,,C,
