program,requirement_type,concentration_or_minor_name,semester_suggested,course_id,course_title,credit_hours,gen_ed_area,is_elective_slot,eligible_courses,min_grade,footnotes
Mechanical Engineering,baseline,,freshman_fall,ORI 101,First Year Experience,1,V,False,,,
Mechanical Engineering,baseline,,freshman_fall,ENG 101,Composition I,3,I,False,,C,MinGrade of C required.
Mechanical Engineering,baseline,,freshman_fall,MTH 125,Calculus I,4,III,False,,,
Mechanical Engineering,baseline,,freshman_fall,CHE 101,General Chemistry I,3,III,False,,,
Mechanical Engineering,baseline,,freshman_fall,CHE 101L,General Chemistry I Lab,1,III,False,,,
Mechanical Engineering,baseline,,freshman_fall,ME 101,Intro to Mechanical Engineering,1,,False,,C,
Mechanical Engineering,baseline,,freshman_fall,ME 101L,Intro to Mechanical Engg Lab,1,,False,,C,
Mechanical Engineering,baseline,,freshman_fall,,PED/MSC/HED – See GenEd Listing,2,V,True,"PED 102, PED 107, PED 111, PED 114, PED 132, PED 133, PED 137, HED 101, MSC 101, FAS 101, NHM 104",,
Mechanical Engineering,baseline,,freshman_spring,ORI 102,First Year Experience,1,V,False,,,
Mechanical Engineering,baseline,,freshman_spring,ENG 102,Composition II,3,I,False,,C,MinGrade of C required.
Mechanical Engineering,baseline,,freshman_spring,MTH 126,Calculus II,4,III,False,,,
Mechanical Engineering,baseline,,freshman_spring,PHY 213,General Physics with Calculus I,4,III,False,,,
Mechanical Engineering,baseline,,freshman_spring,ME 103,Computer-Aided Design I,3,,False,,C,
Mechanical Engineering,baseline,,freshman_spring,ME 104,Engineering Programming I,3,V,False,,C,
Mechanical Engineering,baseline,,sophomore_fall,,HIS Sequence – See GenEd Listing,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",,
Mechanical Engineering,baseline,,sophomore_fall,MTH 227,Calculus III,4,III,False,,,
Mechanical Engineering,baseline,,sophomore_fall,PHY 214,General Physics with Calculus II,4,III,False,,,
Mechanical Engineering,baseline,,sophomore_fall,ME 205,Statics,3,,False,,C,
Mechanical Engineering,baseline,,sophomore_fall,,Concentration Course,3,,True,,,"Although concentrations are a minimum 21 hours, some may require additional hours."
Mechanical Engineering,baseline,,sophomore_spring,,HIS Sequence – See GenEd Listing,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",,
Mechanical Engineering,baseline,,sophomore_spring,MTH 238,Applied Differential Equations,3,III,False,,,
Mechanical Engineering,baseline,,sophomore_spring,ME 204,Engineering Analysis,3,,False,,C,
Mechanical Engineering,baseline,,sophomore_spring,ME 206,Dynamics,3,,False,,C,
Mechanical Engineering,baseline,,sophomore_spring,EE 201,Linear Circuit Analysis I,3,,False,,C,
Mechanical Engineering,baseline,,junior_fall,,Economics – See GenEd Listing,3,IV,True,"ECO 200, ECO 230, ECO 231",,
Mechanical Engineering,baseline,,junior_fall,ME 231,Strength of Materials,3,,False,,C,
Mechanical Engineering,baseline,,junior_fall,,Concentration Course,3,,True,,,
Mechanical Engineering,baseline,,junior_fall,ME 310,Thermodynamics,3,,False,,C,
Mechanical Engineering,baseline,,junior_fall,ME 360,Fluid Mechanics I,3,,False,,C,
Mechanical Engineering,baseline,,junior_fall,ME 360L,Fluid Mechanics I Lab,1,,False,,C,
Mechanical Engineering,baseline,,junior_spring,ME 320,Kinematics/Dynamics of Machines,3,,False,,C,
Mechanical Engineering,baseline,,junior_spring,ME 313L,Experimental Mechanics Lab,1,,False,,C,
Mechanical Engineering,baseline,,junior_spring,ME 301,Anal/Instr of Physical Systems,2,,False,,C,
Mechanical Engineering,baseline,,junior_spring,ME 301L,Anal/Instr of Physical Systems Lab,1,,False,,C,
Mechanical Engineering,baseline,,junior_spring,ME 380,Computer-Aided Design II,3,,False,,C,
Mechanical Engineering,baseline,,junior_spring,ME 312,Heat and Mass Transfer,3,,False,,C,
Mechanical Engineering,baseline,,junior_spring,ME 312L,Heat and Mass Transfer Lab,1,,False,,C,
Mechanical Engineering,baseline,,junior_spring,,Concentration Course,3,,True,,,
Mechanical Engineering,baseline,,senior_fall,,Literature – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
Mechanical Engineering,baseline,,senior_fall,,Concentration Course,3,,True,,,
Mechanical Engineering,baseline,,senior_fall,ME 451,Automatic Control Systems,3,,False,,C,
Mechanical Engineering,baseline,,senior_fall,ME 470,Mech Engg Design Project I,2,,False,,C,"[CS] capstone course, cannot be substituted."
Mechanical Engineering,baseline,,senior_fall,,Concentration Course,3,,True,,,
Mechanical Engineering,baseline,,senior_fall,,Concentration Course,1,,True,,,
Mechanical Engineering,baseline,,senior_spring,,Hum/Fine Art – See GenEd Listing,3,II,True,"CHN 101, CHN 102, CHN 201, CHN 202, ENG 205, ENG 205H, FRE 101, FRE 102, FRE 201, FRE 202, PHL 201, PHL 203, PHL 206, SPA 101, SPA 102, SPA 201, SPA 202, ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,
Mechanical Engineering,baseline,,senior_spring,,Fine Arts – See GenEd Listing,3,II,True,"ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,
Mechanical Engineering,baseline,,senior_spring,,Concentration Course,3,,True,,,
Mechanical Engineering,baseline,,senior_spring,ME 475,Mech Engg Design Project II,2,,False,,C,"[CS] capstone course, cannot be substituted."
Mechanical Engineering,baseline,,senior_spring,,Concentration Course,3,,True,,,
