program,requirement_type,concentration_or_minor_name,semester_suggested,course_id,course_title,credit_hours,gen_ed_area,is_elective_slot,eligible_courses,min_grade,footnotes
Construction Management,baseline,,freshman_fall,ORI 101,First Year Experience,1,V,False,,,
Construction Management,baseline,,freshman_fall,ENG 101,Composition I,3,I,False,,C,MinGrade of C required.
Construction Management,baseline,,freshman_fall,,Math – See GenEd Listing,3,III,True,"MTH 108, MTH 108E, MTH 110, MTH 111, MTH 112, MTH 112E, MTH 113, MTH 115, MTH 120, MTH 125, MTH 126, MTH 227, MTH 237, MTH 238",,
Construction Management,baseline,,freshman_fall,,Sci lecture – See GenEd Listing,3,III,True,See General Education Requirements Area III. Lecture and Lab must match.,,
Construction Management,baseline,,freshman_fall,,Sci lab – See GenEd Listing,1,III,True,Matching lab,,
Construction Management,baseline,,freshman_fall,,HIS Sequence – See GenEd Listing,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",,
Construction Management,baseline,,freshman_fall,CMG 101,Intro to Construction Mgt,2,,False,,C,
Construction Management,baseline,,freshman_fall,CMG 105,Intro to Construction Materials,2,,False,,C,
Construction Management,baseline,,freshman_spring,ORI 102,First Year Experience,1,V,False,,,
Construction Management,baseline,,freshman_spring,ENG 102,Composition II,3,I,False,,C,MinGrade of C required.
Construction Management,baseline,,freshman_spring,,HIS Sequence – See GenEd Listing,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",,
Construction Management,baseline,,freshman_spring,,Sci lecture – See GenEd Listing,3,III,True,See General Education Requirements Area III. Lecture and Lab must match.,,
Construction Management,baseline,,freshman_spring,,Sci lab – See GenEd Listing,1,III,True,Matching lab,,
Construction Management,baseline,,freshman_spring,CMG 110,Blue Print Reading/Constr Plans,3,,False,,C,
Construction Management,baseline,,freshman_spring,MTH 113,Pre-Calculus Trigonometry,3,III,False,,C,
Construction Management,baseline,,sophomore_fall,,Literature – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
Construction Management,baseline,,sophomore_fall,,Economics – See GenEd Listing,3,IV,True,"ECO 200, ECO 230, ECO 231",,
Construction Management,baseline,,sophomore_fall,,Hum/Fine Art – See GenEd Listing,3,II,True,"CHN 101, CHN 102, CHN 201, CHN 202, ENG 205, ENG 205H, FRE 101, FRE 102, FRE 201, FRE 202, PHL 201, PHL 203, PHL 206, SPA 101, SPA 102, SPA 201, SPA 202, ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,
Construction Management,baseline,,sophomore_fall,CMG 201,Construction Surveying,3,,False,,C,
Construction Management,baseline,,sophomore_fall,CMG 217,Statics & Structural Analysis,3,,False,,C,
Construction Management,baseline,,sophomore_fall,,PED/MSC/HED – See GenEd Listing,2,V,True,"PED 102, PED 107, PED 111, PED 114, PED 132, PED 133, PED 137, HED 101, MSC 101, FAS 101, NHM 104",,
Construction Management,baseline,,sophomore_spring,,Soc/Beh Sci – See GenEd Listing,3,IV,True,See General Education Requirements Area IV,,
Construction Management,baseline,,sophomore_spring,,Hum/Fine Art – See GenEd Listing,3,II,True,"CHN 101, CHN 102, CHN 201, CHN 202, ENG 205, ENG 205H, FRE 101, FRE 102, FRE 201, FRE 202, PHL 201, PHL 203, PHL 206, SPA 101, SPA 102, SPA 201, SPA 202, ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,
Construction Management,baseline,,sophomore_spring,MGT 207,Legal Environment & Ethics,3,,False,,C,
Construction Management,baseline,,sophomore_spring,CMG 218,Strength of Materials,3,,False,,C,
Construction Management,baseline,,sophomore_spring,CMG 225,Computer Appls for Construction,3,V,False,,C,
Construction Management,baseline,,sophomore_spring,CMG 250,Construction Estimating,3,,False,,C,
Construction Management,baseline,,junior_fall,CMG 300,Construction Methods,3,,False,,C,
Construction Management,baseline,,junior_fall,CMG 301,Construction Materials & Testing,3,,False,,C,
Construction Management,baseline,,junior_fall,CMG 306,Construction Planning/Scheduling,3,,False,,C,
Construction Management,baseline,,junior_fall,CMG 308,Soil Mechanics & Foundations,3,,False,,C,
Construction Management,baseline,,junior_fall,CMG 310,Construction Contract & Law,3,,False,,C,
Construction Management,baseline,,junior_spring,CMG 315,Heavy Construction,3,,False,,C,
Construction Management,baseline,,junior_spring,CMG 318,Mechanical & Electrical Systems,3,,False,,C,
Construction Management,baseline,,junior_spring,CMG 320,Leadership in Construction,3,,False,,C,
Construction Management,baseline,,junior_spring,CMG 350,Construction Safety,3,,False,,C,
Construction Management,baseline,,junior_spring,,Fine Arts – See GenEd Listing,3,II,True,"ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,
Construction Management,baseline,,senior_fall,CMG 400,Construction Accounting,3,,False,,C,
Construction Management,baseline,,senior_fall,CMG 410,Concrete/Steel/Wood Des & Cons,3,,False,,C,
Construction Management,baseline,,senior_fall,CMG 420,Internship,3,,False,,C,
Construction Management,baseline,,senior_fall,CMG 430,Advanced Constr Cost Estimation,3,,False,,C,
Construction Management,baseline,,senior_fall,CMG 460,Capstone Project Phase I,2,,False,,C,"[CS] capstone course, cannot be substituted."
Construction Management,baseline,,senior_spring,MGT 315,Principles of Management,3,,False,,C,
Construction Management,baseline,,senior_spring,CMG 450,Constr Codes & Quality Control,3,,False,,C,
Construction Management,baseline,,senior_spring,CMG 461,Capstone Project Phase II,2,,False,,C,"[CS] capstone course, cannot be substituted."
Construction Management,baseline,,senior_spring,ETR 315,Principles of Entrepreneurship,3,,False,,C,
Construction Management,baseline,,senior_spring,,"MGT 433, 450, FIN 312",3,,True,"MGT 433, MGT 450, or FIN 312",C,
