program,requirement_type,concentration_or_minor_name,semester_suggested,course_id,course_title,credit_hours,gen_ed_area,is_elective_slot,eligible_courses,min_grade,footnotes
Logistics and Supply Chain Management,baseline,,freshman_fall,ORI 101,First Year Experience,1,V,False,,,
Logistics and Supply Chain Management,baseline,,freshman_fall,ENG 101,Composition I,3,I,False,,C,MinGrade of C required.
Logistics and Supply Chain Management,baseline,,freshman_fall,MTH 112,Pre-Calculus Algebra,3,III,False,,C,MinGrade of C required.
Logistics and Supply Chain Management,baseline,,freshman_fall,,Sci lecture – See GenEd Listing,3,III,True,See General Education Requirements Area III,,
Logistics and Supply Chain Management,baseline,,freshman_fall,,Sci lab – See GenEd Listing,1,III,True,Matching lab for science lecture,,
Logistics and Supply Chain Management,baseline,,freshman_fall,,History – See GenEd Listing,3,IV,True,"HIS 101, HIS 101E, HIS 101H, HIS 102, HIS 102H, HIS 201, HIS 202",,
Logistics and Supply Chain Management,baseline,,freshman_fall,,PED/MSC/HED – See GenEd Listing,2,V,True,"PED 102, PED 107, PED 111, PED 114, PED 132, PED 133, PED 137, HED 101, MSC 101, FAS 101, NHM 104",,
Logistics and Supply Chain Management,baseline,,freshman_spring,ORI 102,First Year Experience,1,V,False,,,
Logistics and Supply Chain Management,baseline,,freshman_spring,ENG 102,Composition II,3,I,False,,C,MinGrade of C required.
Logistics and Supply Chain Management,baseline,,freshman_spring,,Fine Arts – See GenEd Listing,3,II,True,"ART 101, MUS 101, ART 220, ART 221, COMM 101, UPL 102",,
Logistics and Supply Chain Management,baseline,,freshman_spring,,Sci lecture – See GenEd Listing,3,III,True,See General Education Requirements Area III,,
Logistics and Supply Chain Management,baseline,,freshman_spring,,Sci lab – See GenEd Listing,1,III,True,Matching lab for science lecture,,
Logistics and Supply Chain Management,baseline,,freshman_spring,,Soc/Beh Sci – See GenEd Listing,3,IV,True,See General Education Requirements Area IV,,
Logistics and Supply Chain Management,baseline,,freshman_spring,MTH 120,Calculus and its Applications,3,III,False,,,
Logistics and Supply Chain Management,baseline,,sophomore_fall,,Lit Sequence – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
Logistics and Supply Chain Management,baseline,,sophomore_fall,MIS 213,Comp Applications in Business,3,V,False,,,
Logistics and Supply Chain Management,baseline,,sophomore_fall,ENG 205,General Speech,3,II,False,,,
Logistics and Supply Chain Management,baseline,,sophomore_fall,ECO 230,Princ of Microeconomics,3,IV,False,,,
Logistics and Supply Chain Management,baseline,,sophomore_fall,ACC 203,Financial Accounting Principles,3,,False,,,
Logistics and Supply Chain Management,baseline,,sophomore_spring,,Lit Sequence – See GenEd Listing,3,II,True,"ENG 201, ENG 202, ENG 203, ENG 203H, ENG 204, ENG 204H, ENG 207, ENG 208",,
Logistics and Supply Chain Management,baseline,,sophomore_spring,ECO 271,Business Statistics I,3,,False,,,
Logistics and Supply Chain Management,baseline,,sophomore_spring,ECO 231,Princ of Macroeconomics,3,IV,False,,,
Logistics and Supply Chain Management,baseline,,sophomore_spring,LSM 201,Intro to Logistics & SCM,3,,False,,C,MinGrade of C required.
Logistics and Supply Chain Management,baseline,,sophomore_spring,ACC 204,Managerial Accounting Principles,3,,False,,,
Logistics and Supply Chain Management,baseline,,sophomore_spring,ELO 250,Prof Dev & Workforce Readiness,3,,False,,C,MinGrade of C required.
Logistics and Supply Chain Management,baseline,,junior_fall,MGT 207,Legal Env and Ethics,3,,False,,,
Logistics and Supply Chain Management,baseline,,junior_fall,LSM 305,Purchase/Supply Chain Mgt,3,,False,,C,MinGrade of C required.
Logistics and Supply Chain Management,baseline,,junior_fall,FIN 315,Princ of Finance,3,,False,,,
Logistics and Supply Chain Management,baseline,,junior_fall,MGT 315,Princ of Management,3,,False,,,
Logistics and Supply Chain Management,baseline,,junior_fall,,NonBusiness Elective,3,,True,Any non-business course,,
Logistics and Supply Chain Management,baseline,,junior_spring,MIS 315,Princ of Mgt Info Systems,3,,False,,,
Logistics and Supply Chain Management,baseline,,junior_spring,LSM 323,Transportation Management,3,,False,,C,MinGrade of C required.
Logistics and Supply Chain Management,baseline,,junior_spring,LSM 390,ELO in Logistics,3,,False,,C,"[CS] capstone course. To register, student must be at least a sophomore, registered with Career Dev Svcs, possess/maintain 2.0 MinGPA cumulative and major, pass prereq, and have prior signed permission from their advisor, dept chair, and dean."
Logistics and Supply Chain Management,baseline,,junior_spring,LSM 340,Advanced Logistics & SCM,3,,False,,C,MinGrade of C required.
Logistics and Supply Chain Management,baseline,,junior_spring,,Business Elective,3,,True,,,
Logistics and Supply Chain Management,baseline,,senior_fall,MKT 315,Princ of Marketing,3,,False,,,
Logistics and Supply Chain Management,baseline,,senior_fall,LSM 409,International Logistics,3,,False,,C,MinGrade of C required.
Logistics and Supply Chain Management,baseline,,senior_fall,LSM 428,Strategic Logistics & SCM,3,,False,,C,MinGrade of C required.
Logistics and Supply Chain Management,baseline,,senior_fall,,LSM 3xx-4xx Elective,3,,True,LSM 3xx-4xx,C,MinGrade of C required.
Logistics and Supply Chain Management,baseline,,senior_fall,MGT 413,Production Operations Mgt,3,,False,,,
Logistics and Supply Chain Management,baseline,,senior_spring,MGT 442,Strategic Mgt and Policy,3,,False,,,"[CS] capstone course, cannot be substituted."
Logistics and Supply Chain Management,baseline,,senior_spring,,Business Elective,3,,True,,,
Logistics and Supply Chain Management,baseline,,senior_spring,,"HIS 207, PSC 206, SOC 210",3,IV,True,"HIS 207, PSC 206, SOC 210",,
Logistics and Supply Chain Management,baseline,,senior_spring,,Free Elective,3,,True,Any course except transitional courses,,
Logistics and Supply Chain Management,baseline,,senior_spring,,LSM 3xx-4xx Elective,3,,True,LSM 3xx-4xx,C,MinGrade of C required.
